,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
27,11098,12539,12086,13090,,12086,,12659,,12711,11745,12713,,10882,,,,,,,,,,,,,,,,,,
28,13090,10991,12675,13319,11593,,12389,13212,10888,12675,10888,,,,,,,,,,,,,,,,,,,,,
29,11098,12100,10991,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,12711,13357,12086,13319,11132,,11593,11745,10888,,,11132,11775,10888,,,,,,,,,,,,,,,,,,
31,,10882,11593,10888,12279,12659,,12711,11053,13212,11745,10991,,11593,,,,,,,,,,,,,,,,,,
32,12389,,,12138,10888,11745,12539,12086,,12138,,10882,10888,12539,,,,,,,,,,,,,,,,,,
33,,10888,,,12713,12138,12100,12713,12100,13357,12713,11053,13212,12675,,,,,,,,,,,,,,,,,,
34,12100,11775,,,13319,12389,11098,10991,13212,13473,10991,12675,11775,10882,,,,,,,,,,,,,,,,,,
35,10888,12279,12665,13319,13212,,12675,,,11593,,10888,,12659,,,,,,,,,,,,,,,,,,
36,12279,11593,,10888,,,10888,12086,12659,10888,,,,,,,,,,,,,,,,,,,,,,
37,,11593,,12279,,12086,,,11775,12138,,10888,13319,12279,,,,,,,,,,,,,,,,,,
38,13473,11593,11053,12138,11132,11053,12711,,12713,10888,12713,,10888,13212,,,,,,,,,,,,,,,,,,
39,,12539,11053,12138,,12539,10991,,13357,12539,,,,,,,,,,,,,,,,,,,,,,
40,,12617,12539,12138,12659,12713,11745,10882,12713,13473,,11745,12539,12138,,,,,,,,,,,,,,,,,,
41,,11132,11098,,,,11053,11593,11053,,,10882,12659,12675,,,,,,,,,,,,,,,,,,
42,13090,,,13319,,13473,,12713,,12665,11775,,,13090,,,,,,,,,,,,,,,,,,
43,,11132,,,12279,12100,10888,,11775,10888,,11745,12675,,,,,,,,,,,,,,,,,,,
44,11775,,11132,11745,12389,13212,12389,,,10888,12675,,10888,,,,,,,,,,,,,,,,,,,
45,12675,,13357,12617,,12100,11132,12713,12659,,,11053,11053,12539,,,,,,,,,,,,,,,,,,
46,11132,10888,11053,12617,10991,,12100,12659,,13090,,12539,11132,,,,,,,,,,,,,,,,,,,
47,,10882,,12138,,12086,10882,11775,12675,12086,11775,12617,12665,10888,,,,,,,,,,,,,,,,,,
48,,,,,11053,10991,,13357,12617,12279,,11098,10888,10991,,,,,,,,,,,,,,,,,,
49,11775,11053,12665,12659,11053,12711,,10888,12389,11745,,10888,,10888,,,,,,,,,,,,,,,,,,
50,12659,12086,10991,,13090,12086,,12713,,13212,12138,,11745,12539,,,,,,,,,,,,,,,,,,
51,11775,,11775,12389,12100,12539,,,,,11053,,,13357,,,,,,,,,,,,,,,,,,
52,12665,13090,10888,12279,,12713,,13473,12539,,13473,11745,13090,12675,,,,,,,,,,,,,,,,,,
53,13090,11132,,12138,10888,10888,,,13319,12713,11593,12711,,11132,,,,,,,,,,,,,,,,,,
54,12713,11745,11053,12665,12711,10888,12100,12279,12138,13212,11593,13357,12086,12617,,,,,,,,,,,,,,,,,,
55,12539,12711,12711,,11053,,11745,12389,13357,,,13212,12617,11132,,,,,,,,,,,,,,,,,,
56,12675,,13357,11132,11745,,12279,,13319,,10888,,10882,12617,,,,,,,,,,,,,,,,,,
57,,,,10888,13473,,12138,12675,,13357,12086,,12711,12713,,,,,,,,,,,,,,,,,,
58,10991,,13357,12675,13473,10888,,11775,,11132,11775,12279,12539,13473,,,,,,,,,,,,,,,,,,
59,12665,,12539,13473,12100,12389,11775,,,,,,,,,,,,,,,,,,,,,,,,,
60,12617,,13319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,12675,11053,12100,,10888,11132,11775,,12086,12617,,10888,,,,,,,,,,,,,,,,,,
62,13212,13357,13357,,13357,12138,,11745,,,,12389,12711,11132,,,,,,,,,,,,,,,,,,
63,13090,12665,10888,11098,,13357,10991,12665,10882,13357,12100,13473,,12539,,,,,,,,,,,,,,,,,,
64,,,11053,,,12279,12086,,,12086,13473,,13090,12711,,,,,,,,,,,,,,,,,,
65,,12617,10991,12279,10888,10882,10882,12659,12617,11775,,,12100,12100,,,,,,,,,,,,,,,,,,
66,11775,13212,,13212,10991,,12659,,,,12086,12100,12665,12539,,,,,,,,,,,,,,,,,,
67,12279,,13212,13357,13357,10882,12659,,12665,10888,,12617,12100,10888,,,,,,,,,,,,,,,,,,
68,13473,13212,12659,,10888,,11775,,,,,,,,,,,,,,,,,,,,,,,,,
69,11745,,12539,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,10888,13319,11098,12100,12617,10888,,,12711,13090,,13090,,,,,,,,,,,,,,,,,,
71,12086,12659,,11132,,10888,12617,,,,,13090,,,,,,,,,,,,,,,,,,,,
72,,13473,11775,,13090,13357,,13090,,11775,10888,12675,,,,,,,,,,,,,,,,,,,,
73,10888,10888,,13212,12100,13319,,,,,,13473,12617,10888,,,,,,,,,,,,,,,,,,
74,10882,12138,12279,13090,,12086,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,13212,,12713,11593,12713,12713,,12617,,10888,,13473,,,,,,,,,,,,,,,,,,,
76,,,,12659,,,12617,11775,13357,12279,12659,,,,,,,,,,,,,,,,,,,,,
77,,12617,,11098,11053,13357,10882,11098,13090,,,,,,,,,,,,,,,,,,,,,,,
78,,13090,12279,10882,,13090,12539,12100,,12675,11132,10991,,,,,,,,,,,,,,,,,,,,
79,,,,11053,,12389,11132,12279,12100,,12675,12389,12539,,,,,,,,,,,,,,,,,,,
80,10888,,11745,12617,,13212,11098,13212,13473,12711,,,,,,,,,,,,,,,,,,,,,,
81,11745,11098,13473,12617,12086,12675,,12100,12675,13319,12617,11053,,,,,,,,,,,,,,,,,,,,
82,,10888,10882,10888,,12389,,,,,12138,,13319,11132,,,,,,,,,,,,,,,,,,
83,,12100,10991,,11098,12713,10882,,13090,,,,,,,,,,,,,,,,,,,,,,,
84,,12389,12617,,12539,12138,11098,,10888,,,11132,,12713,,,,,,,,,,,,,,,,,,
85,,,11053,,10991,12138,,10888,13473,13090,10888,12389,13212,10888,,,,,,,,,,,,,,,,,,
86,10882,,11053,,12711,10888,,10991,,12539,,11053,12279,11775,,,,,,,,,,,,,,,,,,
87,10882,12659,12675,12086,10888,12100,12100,12617,12617,12279,10888,12617,12675,10882,,,,,,,,,,,,,,,,,,
88,11053,,,12711,13319,,11053,11745,,,,,,,,,,,,,,,,,,,,,,,,
89,,10882,10882,,11053,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,11775,12659,12713,12138,10991,,,11593,10888,,,13357,,,,,,,,,,,,,,,,,,,,
91,11098,,,,13357,13319,,12675,10888,13212,,,,,,,,,,,,,,,,,,,,,,
92,11098,11745,10888,,10888,12539,12711,11132,12279,11593,11053,13090,,,,,,,,,,,,,,,,,,,,
93,12713,11132,10888,12389,11053,,10888,12539,,,11132,10888,,12539,,,,,,,,,,,,,,,,,,
94,,,12389,12100,,13319,13212,13319,12711,12138,,12665,10888,11053,,,,,,,,,,,,,,,,,,
95,,12389,12713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,12617,,12659,10882,,13473,11745,,,,,,,,,,,,,,,,,,,,,,,,,
97,12138,12389,,12100,11745,11745,11098,10888,,,,,,,,,,,,,,,,,,,,,,,,
98,,13319,,12100,,11132,12086,10888,13212,12711,,12713,,,,,,,,,,,,,,,,,,,,
99,12711,12713,10888,11745,10888,11775,10888,,,11098,11593,,,,,,,,,,,,,,,,,,,,,
100,13090,11775,11775,10888,12279,13473,13473,13357,13090,13090,12539,,12100,12279,,,,,,,,,,,,,,,,,,
101,11775,12279,10991,10888,10888,12389,13090,12539,,,,,,,,,,,,,,,,,,,,,,,,
102,,12665,,,12138,11098,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,12675,,,12100,,,10888,12138,12279,12675,12665,10882,,,,,,,,,,,,,,,,,,
104,11775,,,,11098,11053,12711,12086,,10882,11132,,13473,12389,,,,,,,,,,,,,,,,,,
105,12100,11775,12659,,,12659,12675,13473,12138,,11745,11775,13357,10888,,,,,,,,,,,,,,,,,,
106,,12279,13319,11132,10991,10888,10888,12100,10888,12389,12279,11053,12713,11098,,,,,,,,,,,,,,,,,,
107,12086,,11098,12279,12539,,12138,12659,11775,10888,,,,11098,,,,,,,,,,,,,,,,,,
108,12539,10888,12389,10888,10888,10888,10882,,10888,,12086,,,,,,,,,,,,,,,,,,,,,
109,,11775,,,12539,10888,,,,12539,12389,12665,12279,12711,,,,,,,,,,,,,,,,,,
110,12617,,,10888,11132,12539,11745,12389,12659,12539,12665,,,11098,,,,,,,,,,,,,,,,,,
111,12389,,12617,,11775,12279,12138,13212,11098,12659,12659,12711,12659,12617,,,,,,,,,,,,,,,,,,
112,10991,10888,,10888,12086,,,11745,11745,,11593,,,11132,,,,,,,,,,,,,,,,,,
113,11132,11053,10882,11053,,13357,12100,12539,10888,11593,12086,12279,12617,11098,,,,,,,,,,,,,,,,,,
114,11098,12138,12711,,12100,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,13357,,10888,13473,,11775,,11593,12659,12389,12665,12659,,,,,,,,,,,,,,,,,,,,
116,12086,,,11132,12659,11053,12389,13473,13357,11745,12617,11775,10888,12617,,,,,,,,,,,,,,,,,,
117,11098,12100,11745,12539,12100,10888,12665,11593,,,12665,10888,13473,11593,,,,,,,,,,,,,,,,,,
118,12100,13212,12138,12138,11053,,,10991,,10991,,10888,10888,12389,,,,,,,,,,,,,,,,,,
119,,12659,10888,10991,12675,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,11053,11053,12659,,,,,,13212,12711,12665,12617,11132,11132,,,,,,,,,,,,,,,,,,
121,13319,11132,10888,11132,12279,12675,13319,,12665,,11132,13319,12675,10888,,,,,,,,,,,,,,,,,,
122,10888,,11745,12100,,,12711,,,10882,12138,,12659,11132,,,,,,,,,,,,,,,,,,
123,12138,12659,12100,12713,,13473,12086,12539,,13212,12711,,11098,12389,,,,,,,,,,,,,,,,,,
124,12100,12713,12675,13212,11053,,,10888,,12711,13212,13319,,10888,,,,,,,,,,,,,,,,,,
125,12617,11593,10888,10991,12665,12711,12389,12389,12675,12675,,,,,,,,,,,,,,,,,,,,,,
126,13090,13090,12539,11053,,12617,10888,,11098,12659,12713,12539,,12617,,,,,,,,,,,,,,,,,,
127,,,13357,10882,13357,,,11098,,11775,13090,11053,,,,,,,,,,,,,,,,,,,,
128,,12675,11775,11593,12713,,12659,,,,,,,,,,,,,,,,,,,,,,,,,
129,11775,12675,12279,12617,12675,11053,,10882,,12100,,12100,12138,12539,,,,,,,,,,,,,,,,,,
130,12100,,12279,11593,,11593,12665,12617,11745,,10888,12711,,,,,,,,,,,,,,,,,,,,
131,,,10882,12539,13319,13319,12279,,11053,11593,13473,,12086,13357,,,,,,,,,,,,,,,,,,
132,12389,,12665,10888,,10888,,12138,,11098,11132,12138,12389,10882,,,,,,,,,,,,,,,,,,
133,12086,12711,12100,10888,,13357,,,13357,10888,11098,10991,11132,12138,,,,,,,,,,,,,,,,,,
134,13319,12659,11098,12675,,,12713,10991,10888,12665,,,12539,13473,,,,,,,,,,,,,,,,,,
135,12711,,11132,13090,10991,12659,,10888,,,,10888,12100,11775,,,,,,,,,,,,,,,,,,
136,12617,12100,11132,10888,,,12086,12279,12665,13090,,12539,,,,,,,,,,,,,,,,,,,,
137,12713,12617,,13473,13090,11775,11775,12086,11098,10991,11053,11775,,12138,,,,,,,,,,,,,,,,,,
138,,10888,13357,13473,12659,,10888,12713,,13473,,12539,11745,10991,,,,,,,,,,,,,,,,,,
139,13090,11775,11745,,12100,12100,10991,12665,,11775,10882,,,,,,,,,,,,,,,,,,,,,
140,11098,,11053,12665,12675,10888,,,,,,,,,,,,,,,,,,,,,,,,,,
141,12086,13090,10888,11593,,,11775,13357,,12675,,,,,,,,,,,,,,,,,,,,,,
142,12086,13212,11132,10888,11132,,11775,12711,11745,12675,,11593,12086,,,,,,,,,,,,,,,,,,,
143,11098,,12665,10882,11593,,12713,13090,,,,,11593,10888,,,,,,,,,,,,,,,,,,
144,12086,12617,,,10888,,12665,,,,,,,,,,,,,,,,,,,,,,,,,
145,12389,,10888,,13212,13090,13357,12279,,12279,13090,13212,,11132,,,,,,,,,,,,,,,,,,
146,10888,13319,11775,12389,12539,12659,10888,,13212,,,,,,,,,,,,,,,,,,,,,,,
147,10882,,12138,,12675,11775,13473,,12279,10888,12659,11053,,12675,,,,,,,,,,,,,,,,,,
148,,13473,,,12100,10882,13212,13212,,10888,12389,,12389,12659,,,,,,,,,,,,,,,,,,
149,13357,13090,,,10888,12086,12659,12711,10991,10882,12675,11593,,12711,,,,,,,,,,,,,,,,,,
150,,12100,10882,12675,,,,12617,12711,11098,11053,11132,10991,10888,,,,,,,,,,,,,,,,,,
151,12675,,,12711,,12138,12713,12711,11132,,,,,,,,,,,,,,,,,,,,,,,
152,11745,12675,12617,11053,12279,12659,13212,,10888,,,10888,12711,,,,,,,,,,,,,,,,,,,
153,12086,10888,12659,12086,12659,11098,13473,12138,12665,11593,,10888,,,,,,,,,,,,,,,,,,,,
154,11775,,13319,12713,12675,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,13319,12539,,10882,,13212,12617,12138,10888,13357,12539,12389,12138,10888,,,,,,,,,,,,,,,,,,
156,,12138,10888,12711,11053,13319,11098,10888,12617,13319,10888,,12665,12659,,,,,,,,,,,,,,,,,,
157,12711,,11775,,12086,,12539,12711,12389,12086,,,,,,,,,,,,,,,,,,,,,,
158,11098,10888,,11775,12659,,12617,13090,11593,13357,11098,,,,,,,,,,,,,,,,,,,,,
159,13212,,12138,,13473,11745,13473,11775,,,,,,,,,,,,,,,,,,,,,,,,
160,12389,,,10888,12617,12100,,12138,10888,13212,11593,13473,12539,12100,,,,,,,,,,,,,,,,,,
161,,12138,11775,,,,,,11053,12675,12617,,,12100,,,,,,,,,,,,,,,,,,
162,12138,13357,11098,12389,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,12711,,12659,12711,11132,13319,,12665,12711,,12665,,,,,,,,,,,,,,,,,,,
164,12713,10888,13473,,12617,12138,12659,12389,,,,,,,,,,,,,,,,,,,,,,,,
165,12617,,11098,12711,12665,12100,,,,10888,12138,12675,13319,11098,,,,,,,,,,,,,,,,,,
166,11593,11745,11593,11593,,11593,,12713,12659,10882,11098,,,10882,,,,,,,,,,,,,,,,,,
167,13212,,,11098,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,13212,,11098,12617,,,11745,,10888,,,,,,,,,,,,,,,,,,,,,
169,13090,13357,10882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,12086,12539,11775,,,12086,10888,,,,,12279,12617,12389,,,,,,,,,,,,,,,,,,
171,12711,11593,,10882,,12617,11593,,13319,,10888,,,,,,,,,,,,,,,,,,,,,
172,10888,,12711,12711,10888,11745,13319,12659,13357,,12086,,10882,12138,,,,,,,,,,,,,,,,,,
173,11053,11053,,10888,11098,,13473,,12665,12279,12389,13212,12539,11053,,,,,,,,,,,,,,,,,,
174,,12389,13357,13319,,12138,10888,13090,,,13319,,10991,,,,,,,,,,,,,,,,,,,
175,12100,,12665,,12713,,10991,12617,12675,12279,12279,,,13212,,,,,,,,,,,,,,,,,,
176,11132,,,,,,11593,,,,,,,,,,,,,,,,,,,,,,,,,
177,12617,12389,12665,12100,13212,13319,12279,,,,,,,,,,,,,,,,,,,,,,,,,
178,,10888,,12713,13319,,12675,,12279,,12675,13357,12100,,,,,,,,,,,,,,,,,,,
179,10888,,,12617,13212,11593,12279,,,10888,,,11745,,,,,,,,,,,,,,,,,,,
180,10888,,13473,,11053,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,11593,13473,12713,13473,12617,12086,12086,12279,13212,12100,10888,,,,,,,,,,,,,,,,,,
182,,13319,,,11053,13319,,12138,10882,,,,,,,,,,,,,,,,,,,,,,,
183,10882,12711,13357,11098,10888,12539,11593,10888,13090,,12713,12675,11775,12713,,,,,,,,,,,,,,,,,,
184,11132,12665,12279,13473,12713,10991,13212,12665,11053,,11775,10888,11132,,,,,,,,,,,,,,,,,,,
185,11053,12389,,,11745,11053,,12539,,12086,,,,,,,,,,,,,,,,,,,,,,
186,12665,,,,,11098,,,,13212,,12539,10888,,,,,,,,,,,,,,,,,,,
187,12100,,11775,,,13212,,11098,,,12086,13212,12279,10888,,,,,,,,,,,,,,,,,,
188,11053,11593,,12086,13473,,,12138,,10888,13357,12711,11098,12665,,,,,,,,,,,,,,,,,,
189,11053,12100,13357,,,,13319,12279,13090,10888,,10888,,,,,,,,,,,,,,,,,,,,
190,11132,13473,,10888,11593,10888,13473,12675,,12389,12659,12279,,10991,,,,,,,,,,,,,,,,,,
191,12665,10882,12665,12539,13090,,12711,13090,12665,13090,,,12675,,,,,,,,,,,,,,,,,,,
192,,11593,13357,10991,,,13319,,11053,12100,,,,,,,,,,,,,,,,,,,,,,
193,12389,12659,,12086,,,12389,10991,12675,13473,11098,,,,,,,,,,,,,,,,,,,,,
194,,12086,12713,10991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,13473,12665,11053,11745,10991,13357,12617,13357,12617,11745,,,,,,,,,,,,,,,,,,,,,,
196,13357,11098,12389,,13357,13357,10888,12086,12539,,13357,,,13090,,,,,,,,,,,,,,,,,,
197,10882,,,,,13319,12675,12617,,,,,,,,,,,,,,,,,,,,,,,,
198,12086,11593,,10991,13357,10888,13090,11775,13090,11053,11745,,12100,11132,,,,,,,,,,,,,,,,,,
199,12138,12086,,12279,10991,,12659,,12713,10882,13319,10888,,,,,,,,,,,,,,,,,,,,
200,,10888,,12617,12539,12539,,10888,11745,13473,10882,12659,13212,,,,,,,,,,,,,,,,,,,
201,11593,13473,12713,13357,10888,11593,12539,10888,,,10888,11775,13090,,,,,,,,,,,,,,,,,,,
202,12675,10991,12665,,10888,12711,10888,12539,11775,12100,12617,10888,,12665,,,,,,,,,,,,,,,,,,
203,13473,10888,11593,13090,,10991,11132,13212,10888,12138,12665,11098,10888,12279,,,,,,,,,,,,,,,,,,
204,11053,12279,11053,,10882,13473,,,13212,10882,12675,,11775,,,,,,,,,,,,,,,,,,,
205,10888,11593,12659,11098,12675,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,12138,12711,,11593,12086,,12713,12675,11132,,11098,,11098,11745,,,,,,,,,,,,,,,,,,
207,,,13473,13473,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,12711,11053,13357,,,10882,,12086,13473,12138,12086,11132,12086,,,,,,,,,,,,,,,,,,
209,12539,11132,,12138,,,,,11132,,12389,12675,11053,11593,,,,,,,,,,,,,,,,,,
210,,12711,11745,,12539,12713,11098,10888,,12100,,11775,,11593,,,,,,,,,,,,,,,,,,
211,12675,12713,12675,10888,11745,12675,12086,,12675,13212,11098,,,10888,,,,,,,,,,,,,,,,,,
212,11098,10991,13090,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213,11593,12086,,,,10888,13319,12659,13357,,12675,,,,,,,,,,,,,,,,,,,,,
214,12675,,10882,12539,,13357,,13357,12138,,13473,,12711,11775,,,,,,,,,,,,,,,,,,
215,11132,,,10888,,12665,11132,11745,10991,10888,10991,,,10888,,,,,,,,,,,,,,,,,,
216,12659,12138,,13319,,11745,13212,10888,,11775,,11745,,10888,,,,,,,,,,,,,,,,,,
217,10882,13319,10882,10888,10888,12659,,,,,,,,,,,,,,,,,,,,,,,,,,
218,11098,12675,11053,10991,12617,,13357,11775,12279,12539,11098,,,12086,,,,,,,,,,,,,,,,,,
219,13319,,13473,10882,12675,,12665,13212,11132,12713,12617,,11775,12086,,,,,,,,,,,,,,,,,,
220,12086,12711,,12659,,,12539,12659,11745,13090,,12086,11132,12279,,,,,,,,,,,,,,,,,,
221,12100,13090,,10888,10888,12539,,,13357,12659,,10888,10888,13473,,,,,,,,,,,,,,,,,,
222,13090,12675,,,,,13357,11132,12665,12086,,12086,,,,,,,,,,,,,,,,,,,,
223,11098,12617,,10888,12713,11775,,,,,,,,,,,,,,,,,,,,,,,,,,
224,13473,11098,12389,13212,13357,12711,10882,11745,10888,12086,12389,11132,11132,12389,,,,,,,,,,,,,,,,,,
225,12617,12675,12086,,12086,12617,,13319,,12665,10882,13212,,12617,,,,,,,,,,,,,,,,,,
226,12711,12100,11775,13319,,,,13212,12389,10888,,10888,11053,11098,,,,,,,,,,,,,,,,,,
227,13090,,11593,10888,11053,10888,13473,,,,,,,,,,,,,,,,,,,,,,,,,
228,11745,11098,12539,10888,12713,13473,,13212,12279,12279,12279,,,,,,,,,,,,,,,,,,,,,
229,10882,12539,10882,11745,,12711,12389,12138,,11053,13357,11593,12279,10882,,,,,,,,,,,,,,,,,,
230,12086,11775,10882,10888,,12138,,,12617,10888,,,,,,,,,,,,,,,,,,,,,,
231,10991,12711,,12086,10888,11593,,11745,12138,12539,12100,10888,12675,13090,,,,,,,,,,,,,,,,,,
232,13319,11775,12279,11132,,12086,13319,,,,,,,,,,,,,,,,,,,,,,,,,
233,11053,,,12617,12100,12665,,11132,10888,,11132,12711,10882,12711,,,,,,,,,,,,,,,,,,
234,12675,12665,13473,11053,,12713,11775,12138,10991,11053,,13473,13212,11745,,,,,,,,,,,,,,,,,,
235,10882,12279,11745,10888,12659,,10888,,12539,11098,12138,,12659,12675,,,,,,,,,,,,,,,,,,
236,12659,13212,13090,13473,12539,,,11098,12713,10888,12675,12665,12711,12539,,,,,,,,,,,,,,,,,,
237,12279,12086,,10991,10888,12539,13212,,,,10888,12713,13473,,,,,,,,,,,,,,,,,,,
238,10991,,13212,12617,13090,11775,10888,11132,11053,12279,,,,11593,,,,,,,,,,,,,,,,,,
239,11132,13319,12279,10888,,11593,,10991,,11132,12675,,12617,12711,,,,,,,,,,,,,,,,,,
240,12665,11132,,10888,12713,12617,12659,,12279,12279,12675,12539,,,,,,,,,,,,,,,,,,,,
241,10888,12665,13473,11745,,13212,12100,13212,,,,,,,,,,,,,,,,,,,,,,,,
242,13090,12539,,10888,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,13212,11775,,,12617,12665,11745,10991,12617,,10882,12138,12675,,,,,,,,,,,,,,,,,,,
244,11593,,,12711,12086,13357,,12659,12665,12086,,13212,12389,11775,,,,,,,,,,,,,,,,,,
245,11098,13319,11775,,12617,10882,,10991,,,,13357,11775,,,,,,,,,,,,,,,,,,,
246,12389,11053,10888,12138,12100,13090,11098,11132,,,,,,,,,,,,,,,,,,,,,,,,
247,11745,11053,13319,12659,,,,,,,,,,,,,,,,,,,,,,,,,,,,
248,12617,10882,10888,12675,,10991,10888,12659,12389,,10991,,13212,11098,,,,,,,,,,,,,,,,,,
249,10991,11098,12086,,,,11053,12539,13473,11053,,13319,12659,,,,,,,,,,,,,,,,,,,
250,,13212,10991,11132,,12539,,,,,,,,,,,,,,,,,,,,,,,,,,
251,12675,,13357,13212,11098,12713,,,13357,12711,10882,13090,,,,,,,,,,,,,,,,,,,,
252,,13357,10888,11098,13473,,11593,,13212,,11098,12086,,11053,,,,,,,,,,,,,,,,,,
253,12659,,10888,12539,11132,12389,,,,12713,11593,,,,,,,,,,,,,,,,,,,,,
254,12711,,12279,12617,12138,13212,,12665,,,,,,,,,,,,,,,,,,,,,,,,
255,12539,,13090,,11053,13473,,12086,11593,,,,,,,,,,,,,,,,,,,,,,,
256,11098,12713,11593,12665,10888,,13319,,13473,,12675,,12675,,,,,,,,,,,,,,,,,,,
257,11132,,12086,,13319,12659,13473,11775,12665,11745,,,,,,,,,,,,,,,,,,,,,,
258,,12389,11775,12617,,11098,13090,,,12711,12279,12665,,10888,,,,,,,,,,,,,,,,,,
259,13090,10882,11775,,10882,11745,11132,13319,13090,10991,10882,13212,11745,,,,,,,,,,,,,,,,,,,
260,,12665,12086,11745,12389,,12711,,,13319,12100,11775,,12279,,,,,,,,,,,,,,,,,,
261,11775,11593,13319,,12617,12675,13473,13357,,12100,,13473,12279,11775,,,,,,,,,,,,,,,,,,
262,,11053,12659,,12086,,12711,11593,12539,,,12675,,11775,,,,,,,,,,,,,,,,,,
263,10888,13357,12617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
264,10888,11132,,10888,11098,,10991,,10888,11132,11593,12659,,11132,,,,,,,,,,,,,,,,,,
265,10888,,12138,,,,,12617,10882,12711,,12100,11775,13212,,,,,,,,,,,,,,,,,,
266,,12713,12279,12711,11053,11745,12539,,13090,13319,,,,,,,,,,,,,,,,,,,,,,
267,11053,12086,12138,10888,,11053,10882,12100,12711,12711,12675,12713,11132,10888,,,,,,,,,,,,,,,,,,
268,,13090,12100,,11098,11775,,11098,12539,,12675,10991,,,,,,,,,,,,,,,,,,,,
269,12675,10888,11745,,12617,,12389,10888,,13319,11053,11132,,12713,,,,,,,,,,,,,,,,,,
270,12659,10888,11132,13473,,,,12711,12711,10888,13473,13090,13473,12539,,,,,,,,,,,,,,,,,,
