,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
10,롯데_스크류바아이스,크라운_새콤달콤블루소다,삼립_저온숙식빵,nan,김천_깨끗한계란10입,CJ_백설정백당1kg,삼립미각_이즈니버터와플,도_브레드쏘야도시락,nan,이가_투움바파스타,샌_치즈에그샌드위치,동원_체다치즈3입,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
11,삼립_슈프림치즈부리또,HJF_숯향가득삼겹살구이,nan,동원_통그릴델리햄150g,이가_투움바파스타,서울_ABC주스,삼립_저온숙식빵,지구인_채식주의샐러드볼,삼립_저온숙식빵,지구인_채식주의샐러드볼,nan,선명_하루견과요거트,CJ_백설정백당1kg,삼립미각_이즈니버터와플,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
12,푸드_하루한컵과일&견과,nan,nan,nan,도_브레드쏘야도시락,CJ_백설밀가루1kg,HJF_숯향가득삼겹살구이,nan,CJ_백설정백당1kg,nan,nan,nan,삼립_저온숙식빵,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
13,실속_1500모닝롤6입,도_브레드쏘야도시락,nan,nan,동서_콘푸라이트,nan,nan,지구인_채식주의샐러드볼,샌_치즈에그샌드위치,동원_체다치즈3입,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
14,롯데_스크류바아이스,동서_콘푸라이트,nan,삼립_저온숙식빵,nan,동원_통그릴델리햄150g,서울_ABC주스,nan,동원_체다치즈3입,nan,nan,서울_ABC주스,nan,푸드_하루한컵과일&견과,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
15,nan,CJ_백설밀가루1kg,서울_ABC주스,매일_멸균흰우유200ml,nan,동서_콘푸라이트,nan,이가_투움바파스타,크라운_새콤달콤블루소다,nan,롯데_스크류바아이스,nan,동원_체다치즈3입,도_고기듬뿍김치제육,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
16,nan,이가_투움바파스타,도_브레드쏘야도시락,샘표_토마토파스타소스430,동서_콘푸라이트,샌_치즈에그샌드위치,nan,도_브레드쏘야도시락,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
17,nan,삼립_저온숙식빵,nan,진진_강릉커피블랙8T,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
18,nan,진진_강릉커피블랙8T,김천_깨끗한계란10입,nan,도_고기듬뿍김치제육,서울_ABC주스,CJ_백설밀가루1kg,CJ_백설정백당1kg,도_브레드쏘야도시락,삼립미각_이즈니버터와플,삼립_저온숙식빵,지구인_채식주의샐러드볼,진진_강릉커피블랙8T,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
19,nan,선명_하루견과요거트,서울_ABC주스,CJ_백설정백당1kg,nan,샌_치즈에그샌드위치,동원_모닝버터200g,샌_치즈에그샌드위치,진진_강릉커피블랙8T,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
20,푸드_하루한컵과일&견과,nan,HJF_숯향가득삼겹살구이,서울_ABC주스,삼립_저온숙식빵,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
21,지구인_채식주의샐러드볼,동서_콘푸라이트,CJ_백설정백당1kg,삼립_저온숙식빵,크라운_새콤달콤블루소다,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
22,지구인_채식주의샐러드볼,nan,삼립_저온숙식빵,지구인_채식주의샐러드볼,nan,nan,지구인_채식주의샐러드볼,nan,동서_콘푸라이트,동원_체다치즈3입,CJ_백설밀가루1kg,동원_통그릴델리햄150g,이가_투움바파스타,크라운_새콤달콤블루소다,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
23,nan,이가_투움바파스타,동원_체다치즈3입,서울_ABC주스,nan,지구인_채식주의샐러드볼,샌_치즈에그샌드위치,진진_강릉커피블랙8T,서울_ABC주스,동원_통그릴델리햄150g,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
24,CJ_백설정백당1kg,HJF_숯향가득삼겹살구이,샌_치즈에그샌드위치,삼립_슈프림치즈부리또,롯데_스크류바아이스,nan,선명_하루견과요거트,푸드_하루한컵과일&견과,이가_투움바파스타,동원_통그릴델리햄150g,nan,서울_ABC주스,지구인_채식주의샐러드볼,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
25,샌_치즈에그샌드위치,지구인_채식주의샐러드볼,진진_강릉커피블랙8T,nan,지구인_채식주의샐러드볼,nan,동서_콘푸라이트,실속_1500모닝롤6입,진진_강릉커피블랙8T,CJ_고메순살치킨550g,동원_모닝버터200g,서울_ABC주스,nan,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
26,HJF_숯향가득삼겹살구이,이가_투움바파스타,동원_체다치즈3입,푸드_하루한컵과일&견과,CJ_백설정백당1kg,동원_통그릴델리햄150g,nan,nan,동원_모닝버터200g,샌_치즈에그샌드위치,롯데_스크류바아이스,삼립미각_이즈니버터와플,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
27,삼립_저온숙식빵,CJ_고메순살치킨550g,이가_투움바파스타,동원_모닝버터200g,nan,이가_투움바파스타,nan,CJ_백설정백당1kg,nan,김천_깨끗한계란10입,크라운_새콤달콤블루소다,삼립_슈프림치즈부리또,nan,도_브레드쏘야도시락,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
28,동원_모닝버터200g,샌_치즈에그샌드위치,샘표_토마토파스타소스430,서울_ABC주스,실속_1500모닝롤6입,nan,HJF_숯향가득삼겹살구이,선명_하루견과요거트,지구인_채식주의샐러드볼,샘표_토마토파스타소스430,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
29,삼립_저온숙식빵,동원_체다치즈3입,샌_치즈에그샌드위치,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
30,김천_깨끗한계란10입,롯데_스크류바아이스,이가_투움바파스타,서울_ABC주스,삼립미각_이즈니버터와플,nan,실속_1500모닝롤6입,크라운_새콤달콤블루소다,지구인_채식주의샐러드볼,nan,nan,삼립미각_이즈니버터와플,동서_콘푸라이트,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
31,nan,도_브레드쏘야도시락,실속_1500모닝롤6입,지구인_채식주의샐러드볼,동원_통그릴델리햄150g,CJ_백설정백당1kg,nan,김천_깨끗한계란10입,도_고기듬뿍김치제육,선명_하루견과요거트,크라운_새콤달콤블루소다,샌_치즈에그샌드위치,nan,실속_1500모닝롤6입,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
32,HJF_숯향가득삼겹살구이,nan,nan,진진_강릉커피블랙8T,지구인_채식주의샐러드볼,크라운_새콤달콤블루소다,CJ_고메순살치킨550g,이가_투움바파스타,nan,진진_강릉커피블랙8T,nan,도_브레드쏘야도시락,지구인_채식주의샐러드볼,CJ_고메순살치킨550g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
33,nan,지구인_채식주의샐러드볼,nan,nan,삼립_슈프림치즈부리또,진진_강릉커피블랙8T,동원_체다치즈3입,삼립_슈프림치즈부리또,동원_체다치즈3입,롯데_스크류바아이스,삼립_슈프림치즈부리또,도_고기듬뿍김치제육,선명_하루견과요거트,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
34,동원_체다치즈3입,동서_콘푸라이트,nan,nan,서울_ABC주스,HJF_숯향가득삼겹살구이,삼립_저온숙식빵,샌_치즈에그샌드위치,선명_하루견과요거트,매일_멸균흰우유200ml,샌_치즈에그샌드위치,샘표_토마토파스타소스430,동서_콘푸라이트,도_브레드쏘야도시락,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
35,지구인_채식주의샐러드볼,동원_통그릴델리햄150g,CJ_백설밀가루1kg,서울_ABC주스,선명_하루견과요거트,nan,샘표_토마토파스타소스430,nan,nan,실속_1500모닝롤6입,nan,지구인_채식주의샐러드볼,nan,CJ_백설정백당1kg,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
36,동원_통그릴델리햄150g,실속_1500모닝롤6입,nan,지구인_채식주의샐러드볼,nan,nan,지구인_채식주의샐러드볼,이가_투움바파스타,CJ_백설정백당1kg,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
37,nan,실속_1500모닝롤6입,nan,동원_통그릴델리햄150g,nan,이가_투움바파스타,nan,nan,동서_콘푸라이트,진진_강릉커피블랙8T,nan,지구인_채식주의샐러드볼,서울_ABC주스,동원_통그릴델리햄150g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
38,매일_멸균흰우유200ml,실속_1500모닝롤6입,도_고기듬뿍김치제육,진진_강릉커피블랙8T,삼립미각_이즈니버터와플,도_고기듬뿍김치제육,김천_깨끗한계란10입,nan,삼립_슈프림치즈부리또,지구인_채식주의샐러드볼,삼립_슈프림치즈부리또,nan,지구인_채식주의샐러드볼,선명_하루견과요거트,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
39,nan,CJ_고메순살치킨550g,도_고기듬뿍김치제육,진진_강릉커피블랙8T,nan,CJ_고메순살치킨550g,샌_치즈에그샌드위치,nan,롯데_스크류바아이스,CJ_고메순살치킨550g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
40,nan,푸드_하루한컵과일&견과,CJ_고메순살치킨550g,진진_강릉커피블랙8T,CJ_백설정백당1kg,삼립_슈프림치즈부리또,크라운_새콤달콤블루소다,도_브레드쏘야도시락,삼립_슈프림치즈부리또,매일_멸균흰우유200ml,nan,크라운_새콤달콤블루소다,CJ_고메순살치킨550g,진진_강릉커피블랙8T,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
41,nan,삼립미각_이즈니버터와플,삼립_저온숙식빵,nan,nan,nan,도_고기듬뿍김치제육,실속_1500모닝롤6입,도_고기듬뿍김치제육,nan,nan,도_브레드쏘야도시락,CJ_백설정백당1kg,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
42,동원_모닝버터200g,nan,nan,서울_ABC주스,nan,매일_멸균흰우유200ml,nan,삼립_슈프림치즈부리또,nan,CJ_백설밀가루1kg,동서_콘푸라이트,nan,nan,동원_모닝버터200g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
43,nan,삼립미각_이즈니버터와플,nan,nan,동원_통그릴델리햄150g,동원_체다치즈3입,지구인_채식주의샐러드볼,nan,동서_콘푸라이트,지구인_채식주의샐러드볼,nan,크라운_새콤달콤블루소다,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
44,동서_콘푸라이트,nan,삼립미각_이즈니버터와플,크라운_새콤달콤블루소다,HJF_숯향가득삼겹살구이,선명_하루견과요거트,HJF_숯향가득삼겹살구이,nan,nan,지구인_채식주의샐러드볼,샘표_토마토파스타소스430,nan,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
45,샘표_토마토파스타소스430,nan,롯데_스크류바아이스,푸드_하루한컵과일&견과,nan,동원_체다치즈3입,삼립미각_이즈니버터와플,삼립_슈프림치즈부리또,CJ_백설정백당1kg,nan,nan,도_고기듬뿍김치제육,도_고기듬뿍김치제육,CJ_고메순살치킨550g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
46,삼립미각_이즈니버터와플,지구인_채식주의샐러드볼,도_고기듬뿍김치제육,푸드_하루한컵과일&견과,샌_치즈에그샌드위치,nan,동원_체다치즈3입,CJ_백설정백당1kg,nan,동원_모닝버터200g,nan,CJ_고메순살치킨550g,삼립미각_이즈니버터와플,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
47,nan,도_브레드쏘야도시락,nan,진진_강릉커피블랙8T,nan,이가_투움바파스타,도_브레드쏘야도시락,동서_콘푸라이트,샘표_토마토파스타소스430,이가_투움바파스타,동서_콘푸라이트,푸드_하루한컵과일&견과,CJ_백설밀가루1kg,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
48,nan,nan,nan,nan,도_고기듬뿍김치제육,샌_치즈에그샌드위치,nan,롯데_스크류바아이스,푸드_하루한컵과일&견과,동원_통그릴델리햄150g,nan,삼립_저온숙식빵,지구인_채식주의샐러드볼,샌_치즈에그샌드위치,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
49,동서_콘푸라이트,도_고기듬뿍김치제육,CJ_백설밀가루1kg,CJ_백설정백당1kg,도_고기듬뿍김치제육,김천_깨끗한계란10입,nan,지구인_채식주의샐러드볼,HJF_숯향가득삼겹살구이,크라운_새콤달콤블루소다,nan,지구인_채식주의샐러드볼,nan,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
50,CJ_백설정백당1kg,이가_투움바파스타,샌_치즈에그샌드위치,nan,동원_모닝버터200g,이가_투움바파스타,nan,삼립_슈프림치즈부리또,nan,선명_하루견과요거트,진진_강릉커피블랙8T,nan,크라운_새콤달콤블루소다,CJ_고메순살치킨550g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
51,동서_콘푸라이트,nan,동서_콘푸라이트,HJF_숯향가득삼겹살구이,동원_체다치즈3입,CJ_고메순살치킨550g,nan,nan,nan,nan,도_고기듬뿍김치제육,nan,nan,롯데_스크류바아이스,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
52,CJ_백설밀가루1kg,동원_모닝버터200g,지구인_채식주의샐러드볼,동원_통그릴델리햄150g,nan,삼립_슈프림치즈부리또,nan,매일_멸균흰우유200ml,CJ_고메순살치킨550g,nan,매일_멸균흰우유200ml,크라운_새콤달콤블루소다,동원_모닝버터200g,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
53,동원_모닝버터200g,삼립미각_이즈니버터와플,nan,진진_강릉커피블랙8T,지구인_채식주의샐러드볼,지구인_채식주의샐러드볼,nan,nan,서울_ABC주스,삼립_슈프림치즈부리또,실속_1500모닝롤6입,김천_깨끗한계란10입,nan,삼립미각_이즈니버터와플,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
54,삼립_슈프림치즈부리또,크라운_새콤달콤블루소다,도_고기듬뿍김치제육,CJ_백설밀가루1kg,김천_깨끗한계란10입,지구인_채식주의샐러드볼,동원_체다치즈3입,동원_통그릴델리햄150g,진진_강릉커피블랙8T,선명_하루견과요거트,실속_1500모닝롤6입,롯데_스크류바아이스,이가_투움바파스타,푸드_하루한컵과일&견과,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
55,CJ_고메순살치킨550g,김천_깨끗한계란10입,김천_깨끗한계란10입,nan,도_고기듬뿍김치제육,nan,크라운_새콤달콤블루소다,HJF_숯향가득삼겹살구이,롯데_스크류바아이스,nan,nan,선명_하루견과요거트,푸드_하루한컵과일&견과,삼립미각_이즈니버터와플,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
56,샘표_토마토파스타소스430,nan,롯데_스크류바아이스,삼립미각_이즈니버터와플,크라운_새콤달콤블루소다,nan,동원_통그릴델리햄150g,nan,서울_ABC주스,nan,지구인_채식주의샐러드볼,nan,도_브레드쏘야도시락,푸드_하루한컵과일&견과,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
57,nan,nan,nan,지구인_채식주의샐러드볼,매일_멸균흰우유200ml,nan,진진_강릉커피블랙8T,샘표_토마토파스타소스430,nan,롯데_스크류바아이스,이가_투움바파스타,nan,김천_깨끗한계란10입,삼립_슈프림치즈부리또,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
58,샌_치즈에그샌드위치,nan,롯데_스크류바아이스,샘표_토마토파스타소스430,매일_멸균흰우유200ml,지구인_채식주의샐러드볼,nan,동서_콘푸라이트,nan,삼립미각_이즈니버터와플,동서_콘푸라이트,동원_통그릴델리햄150g,CJ_고메순살치킨550g,매일_멸균흰우유200ml,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
59,CJ_백설밀가루1kg,nan,CJ_고메순살치킨550g,매일_멸균흰우유200ml,동원_체다치즈3입,HJF_숯향가득삼겹살구이,동서_콘푸라이트,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
60,푸드_하루한컵과일&견과,nan,서울_ABC주스,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
61,nan,nan,샘표_토마토파스타소스430,도_고기듬뿍김치제육,동원_체다치즈3입,nan,지구인_채식주의샐러드볼,삼립미각_이즈니버터와플,동서_콘푸라이트,nan,이가_투움바파스타,푸드_하루한컵과일&견과,nan,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
62,선명_하루견과요거트,롯데_스크류바아이스,롯데_스크류바아이스,nan,롯데_스크류바아이스,진진_강릉커피블랙8T,nan,크라운_새콤달콤블루소다,nan,nan,nan,HJF_숯향가득삼겹살구이,김천_깨끗한계란10입,삼립미각_이즈니버터와플,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
63,동원_모닝버터200g,CJ_백설밀가루1kg,지구인_채식주의샐러드볼,삼립_저온숙식빵,nan,롯데_스크류바아이스,샌_치즈에그샌드위치,CJ_백설밀가루1kg,도_브레드쏘야도시락,롯데_스크류바아이스,동원_체다치즈3입,매일_멸균흰우유200ml,nan,CJ_고메순살치킨550g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
64,nan,nan,도_고기듬뿍김치제육,nan,nan,동원_통그릴델리햄150g,이가_투움바파스타,nan,nan,이가_투움바파스타,매일_멸균흰우유200ml,nan,동원_모닝버터200g,김천_깨끗한계란10입,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
65,nan,푸드_하루한컵과일&견과,샌_치즈에그샌드위치,동원_통그릴델리햄150g,지구인_채식주의샐러드볼,도_브레드쏘야도시락,도_브레드쏘야도시락,CJ_백설정백당1kg,푸드_하루한컵과일&견과,동서_콘푸라이트,nan,nan,동원_체다치즈3입,동원_체다치즈3입,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
66,동서_콘푸라이트,선명_하루견과요거트,nan,선명_하루견과요거트,샌_치즈에그샌드위치,nan,CJ_백설정백당1kg,nan,nan,nan,이가_투움바파스타,동원_체다치즈3입,CJ_백설밀가루1kg,CJ_고메순살치킨550g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
67,동원_통그릴델리햄150g,nan,선명_하루견과요거트,롯데_스크류바아이스,롯데_스크류바아이스,도_브레드쏘야도시락,CJ_백설정백당1kg,nan,CJ_백설밀가루1kg,지구인_채식주의샐러드볼,nan,푸드_하루한컵과일&견과,동원_체다치즈3입,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
68,매일_멸균흰우유200ml,선명_하루견과요거트,CJ_백설정백당1kg,nan,지구인_채식주의샐러드볼,nan,동서_콘푸라이트,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
69,크라운_새콤달콤블루소다,nan,CJ_고메순살치킨550g,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
70,nan,nan,지구인_채식주의샐러드볼,서울_ABC주스,삼립_저온숙식빵,동원_체다치즈3입,푸드_하루한컵과일&견과,지구인_채식주의샐러드볼,nan,nan,김천_깨끗한계란10입,동원_모닝버터200g,nan,동원_모닝버터200g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
71,이가_투움바파스타,CJ_백설정백당1kg,nan,삼립미각_이즈니버터와플,nan,지구인_채식주의샐러드볼,푸드_하루한컵과일&견과,nan,nan,nan,nan,동원_모닝버터200g,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
72,nan,매일_멸균흰우유200ml,동서_콘푸라이트,nan,동원_모닝버터200g,롯데_스크류바아이스,nan,동원_모닝버터200g,nan,동서_콘푸라이트,지구인_채식주의샐러드볼,샘표_토마토파스타소스430,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
73,지구인_채식주의샐러드볼,지구인_채식주의샐러드볼,nan,선명_하루견과요거트,동원_체다치즈3입,서울_ABC주스,nan,nan,nan,nan,nan,매일_멸균흰우유200ml,푸드_하루한컵과일&견과,지구인_채식주의샐러드볼,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
74,도_브레드쏘야도시락,진진_강릉커피블랙8T,동원_통그릴델리햄150g,동원_모닝버터200g,nan,이가_투움바파스타,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
