,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
25,sandwich loaves,vegetables,coffee/tea,,vegetables,,cereals,dinner rolls,coffee/tea,poultry,butter,juice,,vegetables,,,,,,,,,,,,,,,,,,
26,pork,pasta,cheeses,fruits,sugar,lunch meat,,,butter,sandwich loaves,ice cream,waffles,,,,,,,,,,,,,,,,,,,,
27,bagels,poultry,pasta,butter,,pasta,,sugar,,eggs,soda,tortillas,,individual meals,,,,,,,,,,,,,,,,,,
28,butter,sandwich loaves,spaghetti sauce,juice,dinner rolls,,pork,yogurt,vegetables,spaghetti sauce,vegetables,,,,,,,,,,,,,,,,,,,,,
29,bagels,cheeses,sandwich loaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,eggs,ice cream,pasta,juice,waffles,,dinner rolls,soda,vegetables,,,waffles,cereals,vegetables,,,,,,,,,,,,,,,,,,
31,,individual meals,dinner rolls,vegetables,lunch meat,sugar,,eggs,beef,yogurt,soda,sandwich loaves,,dinner rolls,,,,,,,,,,,,,,,,,,
32,pork,,,coffee/tea,vegetables,soda,poultry,pasta,,coffee/tea,,individual meals,vegetables,poultry,,,,,,,,,,,,,,,,,,
33,,vegetables,,,tortillas,coffee/tea,cheeses,tortillas,cheeses,ice cream,tortillas,beef,yogurt,spaghetti sauce,,,,,,,,,,,,,,,,,,
34,cheeses,cereals,,,juice,pork,bagels,sandwich loaves,yogurt,milk,sandwich loaves,spaghetti sauce,cereals,individual meals,,,,,,,,,,,,,,,,,,
35,vegetables,lunch meat,flour,juice,yogurt,,spaghetti sauce,,,dinner rolls,,vegetables,,sugar,,,,,,,,,,,,,,,,,,
36,lunch meat,dinner rolls,,vegetables,,,vegetables,pasta,sugar,vegetables,,,,,,,,,,,,,,,,,,,,,,
37,,dinner rolls,,lunch meat,,pasta,,,cereals,coffee/tea,,vegetables,juice,lunch meat,,,,,,,,,,,,,,,,,,
38,milk,dinner rolls,beef,coffee/tea,waffles,beef,eggs,,tortillas,vegetables,tortillas,,vegetables,yogurt,,,,,,,,,,,,,,,,,,
39,,poultry,beef,coffee/tea,,poultry,sandwich loaves,,ice cream,poultry,,,,,,,,,,,,,,,,,,,,,,
40,,fruits,poultry,coffee/tea,sugar,tortillas,soda,individual meals,tortillas,milk,,soda,poultry,coffee/tea,,,,,,,,,,,,,,,,,,
41,,waffles,bagels,,,,beef,dinner rolls,beef,,,individual meals,sugar,spaghetti sauce,,,,,,,,,,,,,,,,,,
42,butter,,,juice,,milk,,tortillas,,flour,cereals,,,butter,,,,,,,,,,,,,,,,,,
43,,waffles,,,lunch meat,cheeses,vegetables,,cereals,vegetables,,soda,spaghetti sauce,,,,,,,,,,,,,,,,,,,
44,cereals,,waffles,soda,pork,yogurt,pork,,,vegetables,spaghetti sauce,,vegetables,,,,,,,,,,,,,,,,,,,
45,spaghetti sauce,,ice cream,fruits,,cheeses,waffles,tortillas,sugar,,,beef,beef,poultry,,,,,,,,,,,,,,,,,,
46,waffles,vegetables,beef,fruits,sandwich loaves,,cheeses,sugar,,butter,,poultry,waffles,,,,,,,,,,,,,,,,,,,
47,,individual meals,,coffee/tea,,pasta,individual meals,cereals,spaghetti sauce,pasta,cereals,fruits,flour,vegetables,,,,,,,,,,,,,,,,,,
48,,,,,beef,sandwich loaves,,ice cream,fruits,lunch meat,,bagels,vegetables,sandwich loaves,,,,,,,,,,,,,,,,,,
49,cereals,beef,flour,sugar,beef,eggs,,vegetables,pork,soda,,vegetables,,vegetables,,,,,,,,,,,,,,,,,,
50,sugar,pasta,sandwich loaves,,butter,pasta,,tortillas,,yogurt,coffee/tea,,soda,poultry,,,,,,,,,,,,,,,,,,
51,cereals,,cereals,pork,cheeses,poultry,,,,,beef,,,ice cream,,,,,,,,,,,,,,,,,,
52,flour,butter,vegetables,lunch meat,,tortillas,,milk,poultry,,milk,soda,butter,spaghetti sauce,,,,,,,,,,,,,,,,,,
53,butter,waffles,,coffee/tea,vegetables,vegetables,,,juice,tortillas,dinner rolls,eggs,,waffles,,,,,,,,,,,,,,,,,,
54,tortillas,soda,beef,flour,eggs,vegetables,cheeses,lunch meat,coffee/tea,yogurt,dinner rolls,ice cream,pasta,fruits,,,,,,,,,,,,,,,,,,
55,poultry,eggs,eggs,,beef,,soda,pork,ice cream,,,yogurt,fruits,waffles,,,,,,,,,,,,,,,,,,
56,spaghetti sauce,,ice cream,waffles,soda,,lunch meat,,juice,,vegetables,,individual meals,fruits,,,,,,,,,,,,,,,,,,
57,,,,vegetables,milk,,coffee/tea,spaghetti sauce,,ice cream,pasta,,eggs,tortillas,,,,,,,,,,,,,,,,,,
58,sandwich loaves,,ice cream,spaghetti sauce,milk,vegetables,,cereals,,waffles,cereals,lunch meat,poultry,milk,,,,,,,,,,,,,,,,,,
59,flour,,poultry,milk,cheeses,pork,cereals,,,,,,,,,,,,,,,,,,,,,,,,,
60,fruits,,juice,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,,,spaghetti sauce,beef,cheeses,,vegetables,waffles,cereals,,pasta,fruits,,vegetables,,,,,,,,,,,,,,,,,,
62,yogurt,ice cream,ice cream,,ice cream,coffee/tea,,soda,,,,pork,eggs,waffles,,,,,,,,,,,,,,,,,,
63,butter,flour,vegetables,bagels,,ice cream,sandwich loaves,flour,individual meals,ice cream,cheeses,milk,,poultry,,,,,,,,,,,,,,,,,,
64,,,beef,,,lunch meat,pasta,,,pasta,milk,,butter,eggs,,,,,,,,,,,,,,,,,,
65,,fruits,sandwich loaves,lunch meat,vegetables,individual meals,individual meals,sugar,fruits,cereals,,,cheeses,cheeses,,,,,,,,,,,,,,,,,,
66,cereals,yogurt,,yogurt,sandwich loaves,,sugar,,,,pasta,cheeses,flour,poultry,,,,,,,,,,,,,,,,,,
67,lunch meat,,yogurt,ice cream,ice cream,individual meals,sugar,,flour,vegetables,,fruits,cheeses,vegetables,,,,,,,,,,,,,,,,,,
68,milk,yogurt,sugar,,vegetables,,cereals,,,,,,,,,,,,,,,,,,,,,,,,,
69,soda,,poultry,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
70,,,vegetables,juice,bagels,cheeses,fruits,vegetables,,,eggs,butter,,butter,,,,,,,,,,,,,,,,,,
71,pasta,sugar,,waffles,,vegetables,fruits,,,,,butter,,,,,,,,,,,,,,,,,,,,
72,,milk,cereals,,butter,ice cream,,butter,,cereals,vegetables,spaghetti sauce,,,,,,,,,,,,,,,,,,,,
73,vegetables,vegetables,,yogurt,cheeses,juice,,,,,,milk,fruits,vegetables,,,,,,,,,,,,,,,,,,
74,individual meals,coffee/tea,lunch meat,butter,,pasta,,,,,,,,,,,,,,,,,,,,,,,,,,
75,,yogurt,,tortillas,dinner rolls,tortillas,tortillas,,fruits,,vegetables,,milk,,,,,,,,,,,,,,,,,,,
76,,,,sugar,,,fruits,cereals,ice cream,lunch meat,sugar,,,,,,,,,,,,,,,,,,,,,
77,,fruits,,bagels,beef,ice cream,individual meals,bagels,butter,,,,,,,,,,,,,,,,,,,,,,,
78,,butter,lunch meat,individual meals,,butter,poultry,cheeses,,spaghetti sauce,waffles,sandwich loaves,,,,,,,,,,,,,,,,,,,,
79,,,,beef,,pork,waffles,lunch meat,cheeses,,spaghetti sauce,pork,poultry,,,,,,,,,,,,,,,,,,,
80,vegetables,,soda,fruits,,yogurt,bagels,yogurt,milk,eggs,,,,,,,,,,,,,,,,,,,,,,
81,soda,bagels,milk,fruits,pasta,spaghetti sauce,,cheeses,spaghetti sauce,juice,fruits,beef,,,,,,,,,,,,,,,,,,,,
82,,vegetables,individual meals,vegetables,,pork,,,,,coffee/tea,,juice,waffles,,,,,,,,,,,,,,,,,,
83,,cheeses,sandwich loaves,,bagels,tortillas,individual meals,,butter,,,,,,,,,,,,,,,,,,,,,,,
84,,pork,fruits,,poultry,coffee/tea,bagels,,vegetables,,,waffles,,tortillas,,,,,,,,,,,,,,,,,,
85,,,beef,,sandwich loaves,coffee/tea,,vegetables,milk,butter,vegetables,pork,yogurt,vegetables,,,,,,,,,,,,,,,,,,
86,individual meals,,beef,,eggs,vegetables,,sandwich loaves,,poultry,,beef,lunch meat,cereals,,,,,,,,,,,,,,,,,,
87,individual meals,sugar,spaghetti sauce,pasta,vegetables,cheeses,cheeses,fruits,fruits,lunch meat,vegetables,fruits,spaghetti sauce,individual meals,,,,,,,,,,,,,,,,,,
88,beef,,,eggs,juice,,beef,soda,,,,,,,,,,,,,,,,,,,,,,,,
89,,individual meals,individual meals,,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,cereals,sugar,tortillas,coffee/tea,sandwich loaves,,,dinner rolls,vegetables,,,ice cream,,,,,,,,,,,,,,,,,,,,
91,bagels,,,,ice cream,juice,,spaghetti sauce,vegetables,yogurt,,,,,,,,,,,,,,,,,,,,,,
92,bagels,soda,vegetables,,vegetables,poultry,eggs,waffles,lunch meat,dinner rolls,beef,butter,,,,,,,,,,,,,,,,,,,,
93,tortillas,waffles,vegetables,pork,beef,,vegetables,poultry,,,waffles,vegetables,,poultry,,,,,,,,,,,,,,,,,,
94,,,pork,cheeses,,juice,yogurt,juice,eggs,coffee/tea,,flour,vegetables,beef,,,,,,,,,,,,,,,,,,
95,,pork,tortillas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
96,fruits,,sugar,individual meals,,milk,soda,,,,,,,,,,,,,,,,,,,,,,,,,
97,coffee/tea,pork,,cheeses,soda,soda,bagels,vegetables,,,,,,,,,,,,,,,,,,,,,,,,
98,,juice,,cheeses,,waffles,pasta,vegetables,yogurt,eggs,,tortillas,,,,,,,,,,,,,,,,,,,,
99,eggs,tortillas,vegetables,soda,vegetables,cereals,vegetables,,,bagels,dinner rolls,,,,,,,,,,,,,,,,,,,,,
100,butter,cereals,cereals,vegetables,lunch meat,milk,milk,ice cream,butter,butter,poultry,,cheeses,lunch meat,,,,,,,,,,,,,,,,,,
101,cereals,lunch meat,sandwich loaves,vegetables,vegetables,pork,butter,poultry,,,,,,,,,,,,,,,,,,,,,,,,
102,,flour,,,coffee/tea,bagels,,,,,,,,,,,,,,,,,,,,,,,,,,
103,,,spaghetti sauce,,,cheeses,,,vegetables,coffee/tea,lunch meat,spaghetti sauce,flour,individual meals,,,,,,,,,,,,,,,,,,
104,cereals,,,,bagels,beef,eggs,pasta,,individual meals,waffles,,milk,pork,,,,,,,,,,,,,,,,,,
105,cheeses,cereals,sugar,,,sugar,spaghetti sauce,milk,coffee/tea,,soda,cereals,ice cream,vegetables,,,,,,,,,,,,,,,,,,
106,,lunch meat,juice,waffles,sandwich loaves,vegetables,vegetables,cheeses,vegetables,pork,lunch meat,beef,tortillas,bagels,,,,,,,,,,,,,,,,,,
107,pasta,,bagels,lunch meat,poultry,,coffee/tea,sugar,cereals,vegetables,,,,bagels,,,,,,,,,,,,,,,,,,
108,poultry,vegetables,pork,vegetables,vegetables,vegetables,individual meals,,vegetables,,pasta,,,,,,,,,,,,,,,,,,,,,
109,,cereals,,,poultry,vegetables,,,,poultry,pork,flour,lunch meat,eggs,,,,,,,,,,,,,,,,,,
110,fruits,,,vegetables,waffles,poultry,soda,pork,sugar,poultry,flour,,,bagels,,,,,,,,,,,,,,,,,,
111,pork,,fruits,,cereals,lunch meat,coffee/tea,yogurt,bagels,sugar,sugar,eggs,sugar,fruits,,,,,,,,,,,,,,,,,,
112,sandwich loaves,vegetables,,vegetables,pasta,,,soda,soda,,dinner rolls,,,waffles,,,,,,,,,,,,,,,,,,
113,waffles,beef,individual meals,beef,,ice cream,cheeses,poultry,vegetables,dinner rolls,pasta,lunch meat,fruits,bagels,,,,,,,,,,,,,,,,,,
114,bagels,coffee/tea,eggs,,cheeses,,,,,,,,,,,,,,,,,,,,,,,,,,,
115,ice cream,,vegetables,milk,,cereals,,dinner rolls,sugar,pork,flour,sugar,,,,,,,,,,,,,,,,,,,,
116,pasta,,,waffles,sugar,beef,pork,milk,ice cream,soda,fruits,cereals,vegetables,fruits,,,,,,,,,,,,,,,,,,
117,bagels,cheeses,soda,poultry,cheeses,vegetables,flour,dinner rolls,,,flour,vegetables,milk,dinner rolls,,,,,,,,,,,,,,,,,,
118,cheeses,yogurt,coffee/tea,coffee/tea,beef,,,sandwich loaves,,sandwich loaves,,vegetables,vegetables,pork,,,,,,,,,,,,,,,,,,
119,,sugar,vegetables,sandwich loaves,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,beef,beef,sugar,,,,,,yogurt,eggs,flour,fruits,waffles,waffles,,,,,,,,,,,,,,,,,,
121,juice,waffles,vegetables,waffles,lunch meat,spaghetti sauce,juice,,flour,,waffles,juice,spaghetti sauce,vegetables,,,,,,,,,,,,,,,,,,
122,vegetables,,soda,cheeses,,,eggs,,,individual meals,coffee/tea,,sugar,waffles,,,,,,,,,,,,,,,,,,
123,coffee/tea,sugar,cheeses,tortillas,,milk,pasta,poultry,,yogurt,eggs,,bagels,pork,,,,,,,,,,,,,,,,,,
124,cheeses,tortillas,spaghetti sauce,yogurt,beef,,,vegetables,,eggs,yogurt,juice,,vegetables,,,,,,,,,,,,,,,,,,
125,fruits,dinner rolls,vegetables,sandwich loaves,flour,eggs,pork,pork,spaghetti sauce,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,
126,butter,butter,poultry,beef,,fruits,vegetables,,bagels,sugar,tortillas,poultry,,fruits,,,,,,,,,,,,,,,,,,
127,,,ice cream,individual meals,ice cream,,,bagels,,cereals,butter,beef,,,,,,,,,,,,,,,,,,,,
128,,spaghetti sauce,cereals,dinner rolls,tortillas,,sugar,,,,,,,,,,,,,,,,,,,,,,,,,
129,cereals,spaghetti sauce,lunch meat,fruits,spaghetti sauce,beef,,individual meals,,cheeses,,cheeses,coffee/tea,poultry,,,,,,,,,,,,,,,,,,
130,cheeses,,lunch meat,dinner rolls,,dinner rolls,flour,fruits,soda,,vegetables,eggs,,,,,,,,,,,,,,,,,,,,
131,,,individual meals,poultry,juice,juice,lunch meat,,beef,dinner rolls,milk,,pasta,ice cream,,,,,,,,,,,,,,,,,,
132,pork,,flour,vegetables,,vegetables,,coffee/tea,,bagels,waffles,coffee/tea,pork,individual meals,,,,,,,,,,,,,,,,,,
133,pasta,eggs,cheeses,vegetables,,ice cream,,,ice cream,vegetables,bagels,sandwich loaves,waffles,coffee/tea,,,,,,,,,,,,,,,,,,
134,juice,sugar,bagels,spaghetti sauce,,,tortillas,sandwich loaves,vegetables,flour,,,poultry,milk,,,,,,,,,,,,,,,,,,
135,eggs,,waffles,butter,sandwich loaves,sugar,,vegetables,,,,vegetables,cheeses,cereals,,,,,,,,,,,,,,,,,,
136,fruits,cheeses,waffles,vegetables,,,pasta,lunch meat,flour,butter,,poultry,,,,,,,,,,,,,,,,,,,,
137,tortillas,fruits,,milk,butter,cereals,cereals,pasta,bagels,sandwich loaves,beef,cereals,,coffee/tea,,,,,,,,,,,,,,,,,,
138,,vegetables,ice cream,milk,sugar,,vegetables,tortillas,,milk,,poultry,soda,sandwich loaves,,,,,,,,,,,,,,,,,,
139,butter,cereals,soda,,cheeses,cheeses,sandwich loaves,flour,,cereals,individual meals,,,,,,,,,,,,,,,,,,,,,
140,bagels,,beef,flour,spaghetti sauce,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,
141,pasta,butter,vegetables,dinner rolls,,,cereals,ice cream,,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,
142,pasta,yogurt,waffles,vegetables,waffles,,cereals,eggs,soda,spaghetti sauce,,dinner rolls,pasta,,,,,,,,,,,,,,,,,,,
143,bagels,,flour,individual meals,dinner rolls,,tortillas,butter,,,,,dinner rolls,vegetables,,,,,,,,,,,,,,,,,,
144,pasta,fruits,,,vegetables,,flour,,,,,,,,,,,,,,,,,,,,,,,,,
145,pork,,vegetables,,yogurt,butter,ice cream,lunch meat,,lunch meat,butter,yogurt,,waffles,,,,,,,,,,,,,,,,,,
146,vegetables,juice,cereals,pork,poultry,sugar,vegetables,,yogurt,,,,,,,,,,,,,,,,,,,,,,,
147,individual meals,,coffee/tea,,spaghetti sauce,cereals,milk,,lunch meat,vegetables,sugar,beef,,spaghetti sauce,,,,,,,,,,,,,,,,,,
148,,milk,,,cheeses,individual meals,yogurt,yogurt,,vegetables,pork,,pork,sugar,,,,,,,,,,,,,,,,,,
149,ice cream,butter,,,vegetables,pasta,sugar,eggs,sandwich loaves,individual meals,spaghetti sauce,dinner rolls,,eggs,,,,,,,,,,,,,,,,,,
150,,cheeses,individual meals,spaghetti sauce,,,,fruits,eggs,bagels,beef,waffles,sandwich loaves,vegetables,,,,,,,,,,,,,,,,,,
151,spaghetti sauce,,,eggs,,coffee/tea,tortillas,eggs,waffles,,,,,,,,,,,,,,,,,,,,,,,
152,soda,spaghetti sauce,fruits,beef,lunch meat,sugar,yogurt,,vegetables,,,vegetables,eggs,,,,,,,,,,,,,,,,,,,
153,pasta,vegetables,sugar,pasta,sugar,bagels,milk,coffee/tea,flour,dinner rolls,,vegetables,,,,,,,,,,,,,,,,,,,,
154,cereals,,juice,tortillas,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,juice,poultry,,individual meals,,yogurt,fruits,coffee/tea,vegetables,ice cream,poultry,pork,coffee/tea,vegetables,,,,,,,,,,,,,,,,,,
156,,coffee/tea,vegetables,eggs,beef,juice,bagels,vegetables,fruits,juice,vegetables,,flour,sugar,,,,,,,,,,,,,,,,,,
157,eggs,,cereals,,pasta,,poultry,eggs,pork,pasta,,,,,,,,,,,,,,,,,,,,,,
158,bagels,vegetables,,cereals,sugar,,fruits,butter,dinner rolls,ice cream,bagels,,,,,,,,,,,,,,,,,,,,,
159,yogurt,,coffee/tea,,milk,soda,milk,cereals,,,,,,,,,,,,,,,,,,,,,,,,
160,pork,,,vegetables,fruits,cheeses,,coffee/tea,vegetables,yogurt,dinner rolls,milk,poultry,cheeses,,,,,,,,,,,,,,,,,,
161,,coffee/tea,cereals,,,,,,beef,spaghetti sauce,fruits,,,cheeses,,,,,,,,,,,,,,,,,,
162,coffee/tea,ice cream,bagels,pork,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,eggs,,sugar,eggs,waffles,juice,,flour,eggs,,flour,,,,,,,,,,,,,,,,,,,
164,tortillas,vegetables,milk,,fruits,coffee/tea,sugar,pork,,,,,,,,,,,,,,,,,,,,,,,,
165,fruits,,bagels,eggs,flour,cheeses,,,,vegetables,coffee/tea,spaghetti sauce,juice,bagels,,,,,,,,,,,,,,,,,,
166,dinner rolls,soda,dinner rolls,dinner rolls,,dinner rolls,,tortillas,sugar,individual meals,bagels,,,individual meals,,,,,,,,,,,,,,,,,,
167,yogurt,,,bagels,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,yogurt,,bagels,fruits,,,soda,,vegetables,,,,,,,,,,,,,,,,,,,,,
169,butter,ice cream,individual meals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,pasta,poultry,cereals,,,pasta,vegetables,,,,,lunch meat,fruits,pork,,,,,,,,,,,,,,,,,,
171,eggs,dinner rolls,,individual meals,,fruits,dinner rolls,,juice,,vegetables,,,,,,,,,,,,,,,,,,,,,
172,vegetables,,eggs,eggs,vegetables,soda,juice,sugar,ice cream,,pasta,,individual meals,coffee/tea,,,,,,,,,,,,,,,,,,
173,beef,beef,,vegetables,bagels,,milk,,flour,lunch meat,pork,yogurt,poultry,beef,,,,,,,,,,,,,,,,,,
174,,pork,ice cream,juice,,coffee/tea,vegetables,butter,,,juice,,sandwich loaves,,,,,,,,,,,,,,,,,,,
175,cheeses,,flour,,tortillas,,sandwich loaves,fruits,spaghetti sauce,lunch meat,lunch meat,,,yogurt,,,,,,,,,,,,,,,,,,
176,waffles,,,,,,dinner rolls,,,,,,,,,,,,,,,,,,,,,,,,,
177,fruits,pork,flour,cheeses,yogurt,juice,lunch meat,,,,,,,,,,,,,,,,,,,,,,,,,
178,,vegetables,,tortillas,juice,,spaghetti sauce,,lunch meat,,spaghetti sauce,ice cream,cheeses,,,,,,,,,,,,,,,,,,,
179,vegetables,,,fruits,yogurt,dinner rolls,lunch meat,,,vegetables,,,soda,,,,,,,,,,,,,,,,,,,
180,vegetables,,milk,,beef,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,,,,dinner rolls,milk,tortillas,milk,fruits,pasta,pasta,lunch meat,yogurt,cheeses,vegetables,,,,,,,,,,,,,,,,,,
182,,juice,,,beef,juice,,coffee/tea,individual meals,,,,,,,,,,,,,,,,,,,,,,,
183,individual meals,eggs,ice cream,bagels,vegetables,poultry,dinner rolls,vegetables,butter,,tortillas,spaghetti sauce,cereals,tortillas,,,,,,,,,,,,,,,,,,
184,waffles,flour,lunch meat,milk,tortillas,sandwich loaves,yogurt,flour,beef,,cereals,vegetables,waffles,,,,,,,,,,,,,,,,,,,
185,beef,pork,,,soda,beef,,poultry,,pasta,,,,,,,,,,,,,,,,,,,,,,
186,flour,,,,,bagels,,,,yogurt,,poultry,vegetables,,,,,,,,,,,,,,,,,,,
187,cheeses,,cereals,,,yogurt,,bagels,,,pasta,yogurt,lunch meat,vegetables,,,,,,,,,,,,,,,,,,
188,beef,dinner rolls,,pasta,milk,,,coffee/tea,,vegetables,ice cream,eggs,bagels,flour,,,,,,,,,,,,,,,,,,
189,beef,cheeses,ice cream,,,,juice,lunch meat,butter,vegetables,,vegetables,,,,,,,,,,,,,,,,,,,,
190,waffles,milk,,vegetables,dinner rolls,vegetables,milk,spaghetti sauce,,pork,sugar,lunch meat,,sandwich loaves,,,,,,,,,,,,,,,,,,
191,flour,individual meals,flour,poultry,butter,,eggs,butter,flour,butter,,,spaghetti sauce,,,,,,,,,,,,,,,,,,,
192,,dinner rolls,ice cream,sandwich loaves,,,juice,,beef,cheeses,,,,,,,,,,,,,,,,,,,,,,
193,pork,sugar,,pasta,,,pork,sandwich loaves,spaghetti sauce,milk,bagels,,,,,,,,,,,,,,,,,,,,,
194,,pasta,tortillas,sandwich loaves,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,milk,flour,beef,soda,sandwich loaves,ice cream,fruits,ice cream,fruits,soda,,,,,,,,,,,,,,,,,,,,,,
196,ice cream,bagels,pork,,ice cream,ice cream,vegetables,pasta,poultry,,ice cream,,,butter,,,,,,,,,,,,,,,,,,
197,individual meals,,,,,juice,spaghetti sauce,fruits,,,,,,,,,,,,,,,,,,,,,,,,
198,pasta,dinner rolls,,sandwich loaves,ice cream,vegetables,butter,cereals,butter,beef,soda,,cheeses,waffles,,,,,,,,,,,,,,,,,,
199,coffee/tea,pasta,,lunch meat,sandwich loaves,,sugar,,tortillas,individual meals,juice,vegetables,,,,,,,,,,,,,,,,,,,,
200,,vegetables,,fruits,poultry,poultry,,vegetables,soda,milk,individual meals,sugar,yogurt,,,,,,,,,,,,,,,,,,,
201,dinner rolls,milk,tortillas,ice cream,vegetables,dinner rolls,poultry,vegetables,,,vegetables,cereals,butter,,,,,,,,,,,,,,,,,,,
202,spaghetti sauce,sandwich loaves,flour,,vegetables,eggs,vegetables,poultry,cereals,cheeses,fruits,vegetables,,flour,,,,,,,,,,,,,,,,,,
203,milk,vegetables,dinner rolls,butter,,sandwich loaves,waffles,yogurt,vegetables,coffee/tea,flour,bagels,vegetables,lunch meat,,,,,,,,,,,,,,,,,,
204,beef,lunch meat,beef,,individual meals,milk,,,yogurt,individual meals,spaghetti sauce,,cereals,,,,,,,,,,,,,,,,,,,
205,vegetables,dinner rolls,sugar,bagels,spaghetti sauce,,,,,,,,,,,,,,,,,,,,,,,,,,,
206,coffee/tea,eggs,,dinner rolls,pasta,,tortillas,spaghetti sauce,waffles,,bagels,,bagels,soda,,,,,,,,,,,,,,,,,,
207,,,milk,milk,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,,eggs,beef,ice cream,,,individual meals,,pasta,milk,coffee/tea,pasta,waffles,pasta,,,,,,,,,,,,,,,,,,
209,poultry,waffles,,coffee/tea,,,,,waffles,,pork,spaghetti sauce,beef,dinner rolls,,,,,,,,,,,,,,,,,,
210,,eggs,soda,,poultry,tortillas,bagels,vegetables,,cheeses,,cereals,,dinner rolls,,,,,,,,,,,,,,,,,,
211,spaghetti sauce,tortillas,spaghetti sauce,vegetables,soda,spaghetti sauce,pasta,,spaghetti sauce,yogurt,bagels,,,vegetables,,,,,,,,,,,,,,,,,,
212,bagels,sandwich loaves,butter,vegetables,,,,,,,,,,,,,,,,,,,,,,,,,,,,
